direccion,precio,moneda,tipo,operacion,ciudad,barrio,m2_totales,m2_cubiertos,m2_terreno,m2_descubierta,ambientes,dormitorios,banos,cant_plantas,expensas,descripcion,lat,lng,antiguedad,piso,cochera,balcon,jardin,parrilla,pileta,apto_banco,permuta,fotos
"CORDOBA ENTRE SAN MARTIN Y LURO 1600, Piso 4TO",65000,USD,Depto,Venta,Mar del Plata,Centro,43,40,,3,2,1,1,,$ 80.000,"Mar del plata dto balcon calle cordoba entre san martin y luro , retasado mayo 2026 , pleno centro toma permuta la plata o ma r del plata toma valores dto 4to piso a la calle balcon saliente living 3x5 cocina 2x5 1 baño y 1 dor 3 x 4 muy luminoso contado dolares 65.000 permuta dolares 72.000",-37.99889,-57.54622,30 años,,no,si,no,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883608/comesana-propiedades/argenprop-12022029-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883609/comesana-propiedades/argenprop-12022029-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883611/comesana-propiedades/argenprop-12022029-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883613/comesana-propiedades/argenprop-12022029-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883614/comesana-propiedades/argenprop-12022029-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883616/comesana-propiedades/argenprop-12022029-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883618/comesana-propiedades/argenprop-12022029-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883619/comesana-propiedades/argenprop-12022029-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883621/comesana-propiedades/argenprop-12022029-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883623/comesana-propiedades/argenprop-12022029-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883624/comesana-propiedades/argenprop-12022029-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883626/comesana-propiedades/argenprop-12022029-12.webp
"1 64 Y 65 1500, Piso 2",64000,USD,Depto,Venta,La Plata,Centro,88,70,,18,4,2,1,,,"Semipiso retasado octubre 2023 permuta menor valor toma dto o casa la plata o mar del plata o casa o depto.a refaccionar en la costa atlántica, santa clara, san clemente, o alrededores valor contado u$s 65.000 posible financiacion permuta 75.500",-34.920494,-57.953568,30 años,,no,no,no,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883630/comesana-propiedades/argenprop-10866914-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883631/comesana-propiedades/argenprop-10866914-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883633/comesana-propiedades/argenprop-10866914-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883634/comesana-propiedades/argenprop-10866914-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883636/comesana-propiedades/argenprop-10866914-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883637/comesana-propiedades/argenprop-10866914-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883639/comesana-propiedades/argenprop-10866914-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883640/comesana-propiedades/argenprop-10866914-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883642/comesana-propiedades/argenprop-10866914-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883644/comesana-propiedades/argenprop-10866914-9.webp
139 esq 64 1500,56500,USD,Casa,Venta,La Plata,Los Hornos,80,46,80,34,4,2,1,2,,Muy lindo duplex a mts de avenida 137 y lineas de micro y centro comerciales,-34.94618,-57.98177,20 años,,si,no,si,no,no,si,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883646/comesana-propiedades/argenprop-11648662-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883648/comesana-propiedades/argenprop-11648662-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883649/comesana-propiedades/argenprop-11648662-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883650/comesana-propiedades/argenprop-11648662-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883652/comesana-propiedades/argenprop-11648662-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883654/comesana-propiedades/argenprop-11648662-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883656/comesana-propiedades/argenprop-11648662-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883657/comesana-propiedades/argenprop-11648662-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883659/comesana-propiedades/argenprop-11648662-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883661/comesana-propiedades/argenprop-11648662-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883663/comesana-propiedades/argenprop-11648662-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883665/comesana-propiedades/argenprop-11648662-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883666/comesana-propiedades/argenprop-11648662-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883667/comesana-propiedades/argenprop-11648662-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883669/comesana-propiedades/argenprop-11648662-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883671/comesana-propiedades/argenprop-11648662-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883672/comesana-propiedades/argenprop-11648662-16.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883673/comesana-propiedades/argenprop-11648662-17.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883675/comesana-propiedades/argenprop-11648662-18.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883676/comesana-propiedades/argenprop-11648662-19.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883678/comesana-propiedades/argenprop-11648662-20.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883679/comesana-propiedades/argenprop-11648662-21.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883681/comesana-propiedades/argenprop-11648662-22.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883682/comesana-propiedades/argenprop-11648662-23.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883684/comesana-propiedades/argenprop-11648662-24.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883685/comesana-propiedades/argenprop-11648662-25.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883687/comesana-propiedades/argenprop-11648662-26.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883689/comesana-propiedades/argenprop-11648662-27.webp
MAR DEL PLATA CALLE Castelli 100,295000,USD,Depto,Venta,Mar del Plata,Varese,125,115,,10,4,3,2,,$ 25.000,Excelente piso y ubicación amplia vista panoramica al mar todos los dormitorios ventilan al mar muy amplio livincomedor muy luminoso amplios ventanales con vista al mar consultas 43,-38.021946,-57.529564,35 años,,no,no,no,no,no,si,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883691/comesana-propiedades/argenprop-14732466-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883693/comesana-propiedades/argenprop-14732466-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883694/comesana-propiedades/argenprop-14732466-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883696/comesana-propiedades/argenprop-14732466-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883698/comesana-propiedades/argenprop-14732466-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883700/comesana-propiedades/argenprop-14732466-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883701/comesana-propiedades/argenprop-14732466-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883703/comesana-propiedades/argenprop-14732466-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883704/comesana-propiedades/argenprop-14732466-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883706/comesana-propiedades/argenprop-14732466-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883707/comesana-propiedades/argenprop-14732466-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883709/comesana-propiedades/argenprop-14732466-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883710/comesana-propiedades/argenprop-14732466-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883713/comesana-propiedades/argenprop-14732466-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883714/comesana-propiedades/argenprop-14732466-14.webp
68 y 7 600,89500,USD,Casa,Venta,La Plata,Parque Saavedra,2,2,,,3,2,2,2,,Casona antigua con local a refaccionar y duplex toma permuta la plata o costa atlantida,-34.928093,-57.933,70 años,,no,no,si,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883717/comesana-propiedades/argenprop-16777450-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883719/comesana-propiedades/argenprop-16777450-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883720/comesana-propiedades/argenprop-16777450-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883722/comesana-propiedades/argenprop-16777450-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883724/comesana-propiedades/argenprop-16777450-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883725/comesana-propiedades/argenprop-16777450-5.webp
ZONA 45 Y 150 2700,135000,USD,Casa,Venta,La Plata,Los Hornos,1,200,1,800,4,3,1,2,,"Casaquinta cerrada toda con pared hasta 2 mts de altura `porton automatico , camaras de seguridad, amplias dependencias casaquinta y duplex permutaria menor valor toma valores la plata y mar del plata",-34.952595,-57.99879,25 años,,si,no,si,si,si,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883728/comesana-propiedades/argenprop-16879396-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883729/comesana-propiedades/argenprop-16879396-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883731/comesana-propiedades/argenprop-16879396-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883733/comesana-propiedades/argenprop-16879396-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883735/comesana-propiedades/argenprop-16879396-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883737/comesana-propiedades/argenprop-16879396-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883738/comesana-propiedades/argenprop-16879396-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883740/comesana-propiedades/argenprop-16879396-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883741/comesana-propiedades/argenprop-16879396-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883743/comesana-propiedades/argenprop-16879396-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883745/comesana-propiedades/argenprop-16879396-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883747/comesana-propiedades/argenprop-16879396-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883749/comesana-propiedades/argenprop-16879396-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883750/comesana-propiedades/argenprop-16879396-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883752/comesana-propiedades/argenprop-16879396-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883754/comesana-propiedades/argenprop-16879396-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883756/comesana-propiedades/argenprop-16879396-16.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883757/comesana-propiedades/argenprop-16879396-17.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883759/comesana-propiedades/argenprop-16879396-18.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883760/comesana-propiedades/argenprop-16879396-19.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883763/comesana-propiedades/argenprop-16879396-20.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883764/comesana-propiedades/argenprop-16879396-21.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883766/comesana-propiedades/argenprop-16879396-22.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883768/comesana-propiedades/argenprop-16879396-23.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883769/comesana-propiedades/argenprop-16879396-24.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883771/comesana-propiedades/argenprop-16879396-25.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883773/comesana-propiedades/argenprop-16879396-26.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883775/comesana-propiedades/argenprop-16879396-27.webp
"CALLE 10 ESQ 51 , Piso 2",74999,USD,Depto,Venta,La Plata,Centro,51,51,,,2,1,1,,$ 55.000,"Departamento todo amueblado y equipado.- Ubicado en esquina de 10 y 51, con vista a plaza moreno, ingreso con sistema de llaves codificadas, posee dos ascensores. Caracteristicas del inmueble, hall recibidor , con muebles en madera lustrada a medida. Espacio de cocina con muebles alto y bajo mesada completos. Lavadero cubierto, con termotanque e instalacion para lavarropa. Ventanal con vista sobre calle 10. Living amplio con modular hecho a medida en madera lustrada. Paso al dormitorio ( que ventila al frente) con persianas, calefaccion , pisos de parquet y placares a medida, madera lustrada, techo de yeso , excelente estado. Baño con bañera , espejo embutido, mesada de marmol, vanitory y accesorios completos. Calefaccion por radiadores, y equipo de aire acondicionado. Su valor incluye.: Juego de sillones , juego de mesa redonda con sillas, heladera, lavarropas, secarropa, cocina cuatro hornallas, dos sommiers con colchones de una plaza, comoda mesas de luz y muebles de cabecera de cama.",,,30 años,,no,no,no,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883779/comesana-propiedades/argenprop-18098738-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883781/comesana-propiedades/argenprop-18098738-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883783/comesana-propiedades/argenprop-18098738-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883785/comesana-propiedades/argenprop-18098738-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883786/comesana-propiedades/argenprop-18098738-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883789/comesana-propiedades/argenprop-18098738-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883792/comesana-propiedades/argenprop-18098738-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883793/comesana-propiedades/argenprop-18098738-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883794/comesana-propiedades/argenprop-18098738-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883796/comesana-propiedades/argenprop-18098738-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883798/comesana-propiedades/argenprop-18098738-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883799/comesana-propiedades/argenprop-18098738-11.webp
"41 ENTRE 7 Y 8 PLANTA BAJA ALA CALLE 600, Piso o",68000,USD,Depto,Venta,La Plata,Barrio Norte,48,36,,12,2,1,1,,$ 55.000,"Depto. Monoambiente amplio divisible , planta baja , con patio, ante baño, baño, placard embutido, aire acondicionado, calefaccion por caldera pleno centro de la plata . Opcion amueblado.",-34.94923,-57.90064,10 años,,no,no,no,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883802/comesana-propiedades/argenprop-15382541-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883804/comesana-propiedades/argenprop-15382541-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883805/comesana-propiedades/argenprop-15382541-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883807/comesana-propiedades/argenprop-15382541-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883809/comesana-propiedades/argenprop-15382541-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883810/comesana-propiedades/argenprop-15382541-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883812/comesana-propiedades/argenprop-15382541-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883814/comesana-propiedades/argenprop-15382541-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883815/comesana-propiedades/argenprop-15382541-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883817/comesana-propiedades/argenprop-15382541-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883818/comesana-propiedades/argenprop-15382541-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883820/comesana-propiedades/argenprop-15382541-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883821/comesana-propiedades/argenprop-15382541-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883823/comesana-propiedades/argenprop-15382541-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883824/comesana-propiedades/argenprop-15382541-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883826/comesana-propiedades/argenprop-15382541-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883827/comesana-propiedades/argenprop-15382541-16.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883829/comesana-propiedades/argenprop-15382541-17.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883831/comesana-propiedades/argenprop-15382541-18.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883833/comesana-propiedades/argenprop-15382541-19.webp
ZONA 25 Y 480,99999,USD,Casa,Venta,La Plata,Gonnet,2,2,,,3,2,1,,,"Casa en venta en city bell, dos dormitorios , baño, living . Comedor , cocina, garage cubierto y fondo. Lote 10 x 30 mts. permuta la plata- mar del plata",,,20 años,,si,no,si,no,no,si,si,
136 e/ 64 y 65,185000,USD,Casa,Venta,La Plata,Los Hornos,3,3,,,4,3,2,,,"Casa y dos locales con losa, sobre lote de 8 x 44mts, desarrollada en planta baja, de 3 dormitorios, living, cocina, galeria cubierta, lavadero, dos baños, espacio verde amplio y galpon .",,,2 años,,no,no,no,no,no,no,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883837/comesana-propiedades/argenprop-18397205-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883838/comesana-propiedades/argenprop-18397205-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883840/comesana-propiedades/argenprop-18397205-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883841/comesana-propiedades/argenprop-18397205-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883843/comesana-propiedades/argenprop-18397205-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883844/comesana-propiedades/argenprop-18397205-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883846/comesana-propiedades/argenprop-18397205-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883847/comesana-propiedades/argenprop-18397205-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779883849/comesana-propiedades/argenprop-18397205-8.webp
